tid,clean,origin,LP,approx,speed(L),speed(G),Acc(L),Acc(G),IMR,Median,EWMA
25.0,51.84,51.84,51.86622970108042,51.84096,51.84096,51.84096,51.85359485054021,51.85359485054021,51.84,51.84168070285797,51.846876920709384
26.0,51.84,51.84,51.878144551620636,51.85287485054021,51.84023,51.84023,51.85287485054022,51.86550970108042,51.84,51.84204105428695,51.84621222863844
27.0,51.84,51.84,51.890059402160844,51.864789701080426,51.83951,51.85214485054021,51.85214485054021,51.877424551620635,51.84,51.84222123000144,51.8455420057746
28.0,51.84,51.84,51.90197425270106,53.71241149459788,51.83879,51.86405970108042,51.85142485054021,51.88933940216084,51.84,51.84231131785869,51.844866805197135
29.0,51.84,51.84,51.91388910324127,53.7243263451381,51.85070485054022,51.87597455162064,51.85070485054022,51.90125425270105,51.84,51.84235636178731,51.844187124677426
30.0,51.84,53.84,51.92580395378148,53.73624119567831,51.84998485054022,51.887889402160845,51.84998485054022,51.913169103241266,53.83730999514968,52.83840318089365,52.04350241220968
31.0,51.84,53.84,51.93771880432169,53.748156046218526,53.83662,51.89980425270106,55.81674451890402,51.92508395378148,53.836635717762576,53.336066590446826,52.22281417098872
32.0,51.84,53.84,51.9496336548619,53.760070896758734,53.8359,53.78534059783915,53.8359,51.93699880432169,53.836005171716366,53.58453329522341,52.38412275388985
33.0,51.84,53.84,51.961548505402114,53.77198574729894,53.83517,53.79725544837936,53.83517,51.9489136548619,53.83516266695067,53.7084066476117,52.529227478500864
34.0,51.83,53.83,51.97346335594233,53.78390059783916,53.83445,53.809170298919575,53.83445,51.96082850540211,53.8344470438913,53.76998332380585,52.65974973065077
35.0,51.83,53.83,51.98537820648254,53.795815448379365,53.83373,53.82108514945979,53.83373,51.97274335594233,53.8337360237472,53.80077166190293,52.777147757585695
36.0,51.83,53.83,51.997293057022745,53.80773029891958,53.833,53.833,53.821342353061596,51.984658206482536,51.83,53.81616583095146,52.882732981827125
37.0,51.83,53.83,52.00920790756296,53.81964514945979,53.83228,53.83228,53.82061235306159,51.996573057022744,53.998511182477486,53.82386291547573,52.97768768364441
38.0,51.83,53.83,51.99764941019934,53.83156,53.83156,53.83751514945978,53.81989235306159,52.00405089118031,54.41436076212296,53.82771145773786,53.06307491527997
39.0,51.85,53.85,51.98526176326093,53.84347485054022,53.84347485054022,53.84943,53.819172353061596,51.991663244241906,53.34698629753689,53.83041572886893,53.141710423751974
40.0,51.84,53.84,51.972874116322515,53.84015,53.84015,53.84015,53.847434518904016,51.97927559730349,51.84,53.83176786443447,53.21155438137678
41.0,51.85,53.85,51.96048646938411,53.85031,53.85031,53.827762353061594,53.827762353061594,51.966887950365084,54.264411522808594,53.8310917966517,53.2754299432391
42.0,51.85,53.85,51.948098822445694,51.98976176326093,53.8455,53.81537470612318,53.84060451890402,51.95450030342667,54.37244494794051,53.83075376276031,53.33243694891519
43.0,51.83,53.83,51.935711175507286,51.977374116322515,53.833112353061594,53.80298705918477,53.833112353061594,51.94211265648826,53.28706075794732,53.83058474581462,53.38250525402367
44.0,51.84,53.84,51.92332352856887,51.96498646938411,53.820732353061594,53.79059941224636,53.820732353061594,51.92972500954985,53.830029468381504,53.830500237341774,53.4280337286213
45.0,51.84,51.84,51.910935881630465,51.952598822445694,53.82540235306159,53.77821176530795,53.82540235306159,51.91733736261144,52.07480890662812,52.84243511867089,53.26874235575917
46.0,51.84,51.84,51.89854823469205,51.94021117550729,51.84475,53.76582411836954,49.85233666227717,51.90494971567303,51.7376001495266,52.34840255933545,53.12634312018326
47.0,51.85,51.85,51.88616058775364,51.92782352856887,51.85437,53.75343647143113,51.85437,51.89256206873462,51.85,52.10138627966772,52.99914580816493
48.0,51.83,51.83,51.87377294081523,51.915435881630465,51.841982353061596,51.887660587753636,51.84412451890403,51.880174421796205,51.83,51.96974813983386,52.88244122734844
49.0,51.83,51.83,51.86138529387682,51.90304823469205,51.8336,51.87527294081523,51.82971666227715,51.8677867748578,51.83,51.90467906991693,52.77755710461359
