Timestamp,Attr0,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18
0,0.49,0.5,0.55,0.51,0.32,0.61,0.37,0.39,0.38,0.4,0.4,0.4,0.39,0.4,0.4,0.38,0.39,0.38
1,0.48,0.5,0.55,0.5,0.32,0.63,0.39,0.44,0.37,0.38,0.38,0.38,0.37,0.38,0.38,0.37,0.37,0.37
2,0.48,0.5,0.55,0.5,0.32,0.64,0.35,0.38,0.35,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.37
3,0.48,0.5,0.49,0.48,0.32,0.65,0.38,0.32,0.33,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
4,0.47,0.5,0.49,0.5,0.32,0.66,0.38,0.38,0.33,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.34,0.34
5,0.5,0.5,0.49,0.49,0.32,0.67,0.34,0.36,0.33,0.33,0.33,0.33,0.32,0.33,0.33,0.32,0.33,0.33
6,0.49,0.5,0.55,0.5,0.32,0.67,0.29,0.33,0.33,0.33,0.33,0.33,0.32,0.33,0.33,0.32,0.33,0.33
7,0.48,0.5,0.49,0.49,0.32,0.68,0.31,0.32,0.33,0.32,0.32,0.32,0.31,0.32,0.32,0.32,0.32,0.32
8,0.49,0.5,0.49,0.48,0.32,0.69,0.32,0.3,0.29,0.31,0.31,0.31,0.3,0.31,0.31,0.31,0.31,0.31
9,0.49,0.5,0.49,0.48,0.32,0.7,0.7,0.29,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.31,0.31,0.31
10,0.47,0.5,0.49,0.48,0.32,0.7,0.42,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.3,0.3,0.31
11,0.49,0.5,0.49,0.47,0.32,0.71,0.36,0.27,0.28,0.28,0.28,0.29,0.28,0.29,0.28,0.3,0.29,0.3
12,0.47,0.5,0.49,0.47,0.32,0.72,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.29
13,0.49,0.5,0.49,0.45,0.32,0.72,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.28,0.29
14,0.49,0.5,0.55,0.45,0.32,0.73,0.31,0.27,0.28,0.26,0.26,0.26,0.27,0.26,0.26,0.27,0.28,0.28
15,0.49,0.5,0.49,0.46,0.32,0.73,0.31,0.27,0.28,0.26,0.26,0.26,0.26,0.26,0.26,0.27,0.27,0.28
16,0.48,0.5,0.49,0.46,0.32,0.74,0.32,0.26,0.27,0.25,0.25,0.25,0.26,0.25,0.25,0.27,0.27,0.27
17,0.48,0.5,0.49,0.45,0.32,0.74,0.28,0.24,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.26,0.27
18,0.48,0.5,0.49,0.45,0.32,0.74,0.32,0.26,0.25,0.24,0.24,0.24,0.25,0.24,0.24,0.26,0.26,0.27
19,0.47,0.5,0.49,0.45,0.32,0.75,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.26,0.26
20,0.48,0.5,0.49,0.46,0.32,0.75,0.23,0.24,0.23,0.23,0.23,0.23,0.24,0.23,0.23,0.25,0.25,0.26
