time,sensor0,sensor1,sensor2,sensor32,sensor33,sensor34
30001,49.34895706,51.95312119,44.31423569,46.875,36.45833,84.89583
30002,49.34895706,51.95312119,44.31423569,46.875,36.45833,84.89583
30003,49.34895706,51.95312,44.31424,46.875,36.45833,84.89583
30004,49.34896,52.03993,44.27083,45.57291,36.71875,80.72916
30005,49.26215,52.03992844,44.27083,45.3125,36.97916,79.16666
30006,49.43576,52.03993,44.22743,44.79166,36.97916,77.34375
30007,49.4357605,52.08333,44.22742844,46.875,37.5,76.82291
30008,49.4357605,52.08333,44.22742844,49.47916,38.02083,76.82291
30009,49.4357605,52.03993,44.22742844,51.04166,38.80208,75.52083
30010,49.43576,52.03993,44.22743,52.34375,38.80208,73.4375
30011,49.34896,52.08333,44.14063,53.64583,39.0625,71.35416
30012,49.43576,52.03993,44.14063,54.94791,39.32291,69.53125
30013,49.4357605,52.08333,44.09722137,55.98958,39.32291,68.75
30014,49.4357605,52.08333,44.05382,54.6875,39.32291,68.75
30015,49.4357605,52.12674,44.05381775,53.90625,39.0625,69.27083
30016,49.4357605,52.08333,44.05381775,54.94791,39.0625,70.57291
30017,49.4357605,52.08333206,44.05381775,56.51041,39.0625,70.83333
30018,49.43576,52.08333206,44.05382,56.51041,39.0625,70.83333
30019,49.26215,52.08333,44.09722,57.55208,38.28125,71.35416
30020,49.47916,52.03993,44.09722,58.33333,38.02083,72.13541
30021,49.47916412,52.03993,44.14063,58.85416,37.76041,72.91666
30022,49.47916412,52.08333,44.22743,58.59375,37.5,72.13541
30023,49.47916412,52.03993,44.22743,56.41926699999999,36.45833,71.35416
30024,49.47916412,52.08333206,44.27083,55.20833,36.19791,70.3125
30025,49.47916412,52.12674,44.27083206,56.25,36.19791,70.57291
30026,49.47916412,52.08333,44.27083206,57.55208,36.45833,70.3125
30027,49.47916412,52.08333,44.27083206,55.81575134999999,36.45833,69.01041
30028,49.47916412,52.12674,44.27083206,55.3513309175,36.45833,67.70833
30029,49.47916412,52.08333,44.27083206,54.902751963374996,36.19791,67.44791
30030,49.47916,52.17014,44.27083206,55.72916,35.67708,66.14583
30031,49.52257,52.12674,44.27083206,53.910910561543744,35.15625,65.10416
30032,49.52256775,52.12673569,44.27083,52.08333,34.375,65.10416
30033,49.52256775,52.12673569,44.22743,52.08333,34.375,68.75
30034,49.52256775,52.12673569,44.22743,52.34375,34.89583,74.47916
30035,49.52256775,52.12673569,44.14063,51.82291,34.89583,83.9583285
30036,49.52256775,52.12674,44.14063,51.30208,35.15625,85.604161425
30037,49.52256775,52.17014,44.09722,51.04166,35.67708,86.66822449625002
30038,49.52257,52.12674,44.09722,50.78125,36.19791,87.27767672106249
30039,49.56597,52.12674,44.14063,49.73958,36.19791,87.6832255571156
30040,49.56597137,52.17014,44.14063,48.69791,36.19791,88.10905633497138
30041,49.56597137,52.17014,44.22743,48.17708,36.45833,88.75148915171997
30042,49.56597137,52.25694,44.22743,48.17708,36.45833,89.49114760930597
30043,49.56597137,52.17014,44.27083206,49.47916,36.71875,90.15060098977128
30044,49.56597137,52.17014,44.31424,51.04166,36.97916,90.40031903925984
30045,49.56597,52.25694,44.31423569,51.82291,37.76041,90.19377249122284
30046,49.65277,52.25694,44.31423569,51.30208,38.02083,89.359712190784
30047,49.65277481,52.30035,44.31423569,50.52083,37.76041,88.41467622907318
30048,49.65277481,52.17014,44.31424,49.47916,37.76041,94.27083
30049,49.65277481,52.1701355,44.27083,48.69791,38.02083,93.75
30050,49.65277481,52.17014,44.27083,48.17708,38.02083,92.70833
30051,49.65277481,52.25694,44.31424,46.875,37.76041,89.84375
30052,49.65277481,52.25694,44.31423569,45.83333,37.76041,86.19791
30053,49.65277,52.30035,44.31423569,45.57291,38.28125,83.85416
30054,49.69618,52.17014,44.31423569,45.83333,39.0625,83.07291
30055,49.69617844,52.25694,44.31424,45.57291,38.80208,80.46875
30056,49.69617844,52.25694275,44.35764,45.3125,38.02083,78.64583
30057,49.69617844,52.25694275,44.3576355,45.3125,37.5,80.98958
30058,49.69617844,52.25694275,44.3576355,46.61458,36.71875,82.03125
30059,49.69618,52.25694,44.3576355,48.17708,36.45833,82.03125
30060,49.73958,52.30035,44.3576355,48.69791,36.45833,79.6875
30061,49.73958206,52.25694,44.44444,49.47916,35.41666,76.04166
30062,49.73958206,52.25694,44.44444,49.47916,35.41666,76.04166
30063,49.73958206,52.30035,44.44444275,49.73958,35.67708,75.52083
30064,49.73958206,52.25694,44.44444275,49.47916,35.41666,76.04166
30065,49.73958206,52.17014,44.44444,49.21875,35.15625,77.08333
30066,49.73958206,52.25694,44.48785,48.69791,35.15625,79.42708
30067,49.73958206,52.17014,44.48784637,48.17708,35.41666,79.94791
30068,49.73958206,52.25694,44.48784637,47.39583,35.41666,82.03125
30069,49.73958206,52.25694,44.48784637,47.13541,36.45833,84.375
30070,49.73958,52.17014,44.48785,46.875,36.45833,85.15625
30071,49.78299,52.25694,44.53125,46.61458,36.71875,84.375
30072,49.78298569,52.17014,44.53125,46.09375,36.45833,84.63541
30073,49.78298569,52.17014,44.53125,46.09375,36.19791,82.03125
30074,49.78298569,52.25694,44.53125,45.83333,35.67708,79.16666
30075,49.78298569,52.25694,44.53125,46.09375,35.67708,76.04166
30076,49.78299,52.25694,44.53125,47.13541,36.19791,73.4375
30077,49.73958,52.25694,44.53125,47.39583,36.19791,70.57291
30078,49.73958206,52.25694,44.53125,47.13541,35.67708,69.27083
30079,49.73958206,52.17014,44.53125,48.17708,36.45833,69.27083
30080,49.73958206,52.17014,44.53125,48.69791,36.45833,69.01041
30081,49.73958206,52.17014,44.48785,49.21875,36.19791,71.35416
30082,49.73958206,52.17014,44.48784637,50.0,35.41666,75.78125
30083,49.73958206,52.12674,44.48785,50.78125,34.89583,77.86458
30084,49.73958,52.25694,44.44444,49.73958,34.11458,82.29166
30085,49.69618,52.17014,44.48784637,48.69791,33.85416,84.84374449999999
30086,49.69617844,52.17014,44.53125,48.4375,33.85416,85.635411225
30087,49.69617844,52.17014,44.53125,47.91666,33.59375,86.36249428624998
30088,49.69617844,52.17014,44.57465,47.91666,33.59375,87.3342655005625
30089,49.69617844,52.17014,44.57465,47.39583,33.85416,91.66666
30090,49.69617844,52.12674,44.66146,46.875,33.85416,93.48958
30091,49.69617844,52.17014,44.70486,46.09375,33.85416,97.39583
30092,49.69617844,52.12674,44.70486,46.09375,33.85416,101.5625
30093,49.69617844,52.17014,44.74826,46.09375,33.85416,102.0833
30094,49.69617844,52.17014,44.7482605,46.875,33.59375,98.95833
30095,49.69617844,52.25694,44.74826,48.17708,33.85416,98.17708
30096,49.69617844,52.25694,44.79166,49.47916,34.11458,98.69791
30097,49.69617844,52.17014,44.79166,50.0,35.15625,100.0
30098,49.69617844,52.12674,44.74826,49.73958,36.45833,103.3854
30099,49.69617844,52.17014,44.7482605,49.47916,36.71875,105.2083
30100,49.69618,52.17014,44.74826,48.4375,36.45833,105.2083
