sensor0,sensor1,sensor2,sensor32,sensor33,sensor34
49.35,51.95,44.31,46.88,36.46,84.9
49.35,51.95,44.31,46.88,36.46,84.9
49.35,51.95,44.31,46.88,36.46,84.9
49.35,52.04,44.27,45.57,36.72,80.73
49.26,52.04,44.27,45.31,36.98,79.17
49.44,52.04,44.23,44.79,36.98,77.34
49.44,52.08,44.23,46.88,37.5,76.82
49.44,52.08,44.23,49.48,38.02,76.82
49.44,52.04,44.23,51.04,38.8,75.52
49.44,52.04,44.23,52.34,38.8,73.44
49.35,52.08,44.14,53.65,39.06,71.35
49.44,52.04,44.14,54.95,39.32,69.53
49.44,52.08,44.1,55.99,39.32,68.75
49.44,52.08,44.05,54.69,39.32,68.75
49.44,52.13,44.05,53.91,39.06,69.27
49.44,52.08,44.05,54.95,39.06,70.57
49.44,52.08,44.05,56.51,39.06,70.83
49.44,52.08,44.05,56.51,39.06,70.83
49.26,52.08,44.1,57.55,38.28,71.35
49.48,52.04,44.1,58.33,38.02,72.14
49.48,52.04,44.14,58.85,37.76,72.92
49.48,52.08,44.23,58.59,37.5,72.14
49.48,52.04,44.23,56.42,36.46,71.35
49.48,52.08,44.27,55.21,36.2,70.31
49.48,52.13,44.27,56.25,36.2,70.57
49.48,52.08,44.27,57.55,36.46,70.31
49.48,52.08,44.27,55.82,36.46,69.01
49.48,52.13,44.27,55.35,36.46,67.71
49.48,52.08,44.27,54.9,36.2,67.45
49.48,52.17,44.27,55.73,35.68,66.15
49.52,52.13,44.27,53.91,35.16,65.1
49.52,52.13,44.27,52.08,34.38,65.1
49.52,52.13,44.23,52.08,34.38,68.75
49.52,52.13,44.23,52.34,34.9,74.48
49.52,52.13,44.14,51.82,34.9,83.96
49.52,52.13,44.14,51.3,35.16,85.6
49.52,52.17,44.1,51.04,35.68,86.67
49.52,52.13,44.1,50.78,36.2,87.28
49.57,52.13,44.14,49.74,36.2,87.68
49.57,52.17,44.14,48.7,36.2,88.11
49.57,52.17,44.23,48.18,36.46,88.75
49.57,52.26,44.23,48.18,36.46,89.49
49.57,52.17,44.27,49.48,36.72,90.15
49.57,52.17,44.31,51.04,36.98,90.4
49.57,52.26,53.52,51.82,28.0,90.19
49.65,52.26,40.16,51.3,34.97,89.36
49.65,52.3,51.84,50.52,51.05,88.41
49.65,52.17,48.83,49.48,29.66,94.27
49.65,52.17,44.45,48.7,31.94,93.75
49.65,52.17,37.83,48.18,33.04,92.71
49.65,52.26,41.12,46.88,42.81,89.84
49.65,52.26,45.93,45.83,33.06,86.2
49.65,52.3,48.03,45.57,38.83,83.85
49.7,52.17,46.46,45.83,36.58,83.07
49.7,52.26,47.76,45.57,34.02,79.98
49.7,52.26,36.67,45.31,41.8,88.89
49.7,52.26,36.14,45.31,35.86,94.18
49.7,52.26,60.12,46.61,34.16,61.19
49.7,52.26,40.24,48.18,34.11,78.09
49.74,52.3,23.4,48.7,47.5,83.62
49.74,52.26,43.93,49.48,21.22,91.35
49.74,52.26,38.68,49.48,27.84,53.45
49.74,52.3,52.75,49.74,36.64,83.25
49.74,52.26,42.35,49.48,33.5,85.65
49.74,52.17,35.78,49.22,40.86,65.71
49.74,52.26,51.29,48.7,35.18,109.63
49.74,52.17,42.58,48.18,33.52,101.63
49.74,52.26,58.04,47.4,31.73,72.23
49.74,52.26,39.33,47.14,45.35,75.95
49.74,52.17,36.07,46.88,38.65,97.37
49.78,52.26,44.23,46.61,32.08,92.74
49.78,52.17,56.24,46.09,34.64,94.31
49.78,52.17,49.8,46.09,33.05,63.76
49.78,52.26,46.13,45.83,30.43,67.75
49.78,52.26,44.53,46.09,35.68,88.66
49.78,52.26,44.53,47.14,36.2,70.25
49.74,58.94,44.53,47.4,36.2,87.77
49.74,53.28,44.53,47.14,35.68,81.88
49.74,60.77,44.53,48.18,36.46,45.81
49.74,39.65,44.53,48.7,36.46,70.32
49.74,55.19,44.49,49.22,36.2,56.56
49.74,46.86,44.49,50.0,35.42,83.41
49.74,49.52,44.49,50.78,34.9,78.16
49.74,58.8,44.44,49.74,34.11,171.87
49.7,41.71,44.49,48.7,33.85,56.51
49.7,54.27,44.53,48.44,33.85,63.43
49.7,53.06,44.53,47.92,33.59,85.89
49.7,48.94,44.57,47.92,33.59,68.47
49.7,40.49,44.57,47.4,33.85,103.84
49.7,42.83,44.66,46.88,33.85,73.79
49.7,54.97,44.7,46.09,33.85,98.71
49.7,53.7,44.7,46.09,33.85,75.84
49.7,50.46,44.75,46.09,33.85,94.15
49.7,68.38,44.75,46.88,33.59,96.03
49.7,46.12,44.75,48.18,33.85,56.27
49.7,64.48,44.79,49.48,34.11,83.02
49.7,44.34,44.79,50.0,35.16,84.54
49.7,52.8,44.75,49.74,36.46,78.8
49.7,38.51,44.75,49.48,36.72,95.96
49.7,60.02,44.75,48.44,36.46,112.58
49.7,38.73,44.7,47.92,36.2,94.52
49.7,53.95,44.7,47.92,35.68,103.87
49.7,51.85,44.7,47.14,35.42,95.82
49.7,60.02,44.7,47.4,35.42,115.42
49.7,50.8,44.7,47.4,35.68,56.26
49.7,47.45,44.75,47.4,36.2,74.77
49.52,33.86,44.75,47.14,36.46,111.1
49.7,62.8,44.79,46.61,36.46,66.94
49.7,36.72,44.88,46.88,36.98,78.99
49.7,47.12,44.88,46.61,37.5,98.62
49.65,51.71,44.92,45.57,36.98,81.9
49.65,58.71,44.92,45.57,36.98,108.73
49.65,64.25,44.97,44.27,36.72,73.07
49.65,66.11,45.01,44.01,36.2,94.61
49.57,57.74,45.1,43.49,35.42,81.98
49.65,51.9,45.1,44.53,34.9,74.94
49.65,55.09,45.14,45.31,34.38,91.05
49.65,44.09,45.18,46.09,34.11,87.18
49.65,51.76,45.18,47.92,34.11,100.41
49.65,61.33,45.18,49.48,34.11,71.06
49.65,51.39,45.14,50.0,34.38,96.0
49.65,46.51,45.14,50.0,34.38,58.26
49.65,53.58,45.1,50.0,34.38,80.85
49.65,43.05,45.01,49.74,34.9,82.7
49.65,52.08,44.97,50.0,34.9,91.67
49.65,52.04,44.92,50.52,34.9,92.97
49.65,52.04,44.92,50.0,34.38,92.45
49.65,52.04,44.88,49.74,34.38,90.1
49.65,52.04,44.88,49.74,34.9,88.54
49.65,52.08,44.88,49.48,34.38,86.2
49.65,52.04,44.88,49.74,34.38,85.16
49.65,51.95,44.88,50.0,35.16,85.68
49.65,52.04,44.92,50.52,35.42,86.98
49.65,52.04,44.92,50.78,36.46,86.2
49.57,52.04,44.97,51.04,37.76,85.16
49.57,52.04,45.01,51.04,38.8,84.38
49.52,51.95,45.1,50.78,39.32,83.85
49.57,52.04,45.1,49.48,38.8,80.99
49.57,51.95,45.14,49.22,37.76,78.39
49.57,51.95,45.18,49.22,36.72,77.08
49.57,51.95,45.18,48.44,36.2,75.26
