sensor0,sensor1,sensor2,sensor32,sensor33,sensor34
49.35,51.95,44.31,46.88,36.46,84.9
49.35,51.95,44.31,46.88,36.46,84.9
49.35,51.95,44.31,46.88,36.46,84.9
49.35,52.04,44.27,45.57,36.72,80.73
49.26,52.04,44.27,45.31,36.98,79.17
49.44,52.04,44.23,44.79,36.98,77.34
49.44,52.08,44.23,46.88,37.5,76.82
49.44,52.08,44.23,49.48,38.02,76.82
49.44,52.04,44.23,51.04,38.8,75.52
49.44,52.04,44.23,52.34,38.8,73.44
49.35,52.08,44.14,53.65,39.06,71.35
49.44,52.04,44.14,54.95,39.32,69.53
49.44,52.08,44.1,55.99,39.32,68.75
49.44,52.08,44.05,54.69,39.32,68.75
49.44,52.13,44.05,53.91,39.06,69.27
49.44,52.08,44.05,54.95,39.06,70.57
49.44,52.08,44.05,56.51,39.06,70.83
49.44,52.08,44.05,56.51,39.06,70.83
49.26,52.08,44.1,57.55,38.28,71.35
49.48,52.04,44.1,58.33,38.02,72.14
49.48,52.04,44.14,58.85,37.76,72.92
49.48,52.08,44.23,58.59,37.5,72.14
49.48,52.04,44.23,56.42,36.46,71.35
49.48,52.08,44.27,55.21,36.2,70.31
49.48,52.13,44.27,56.25,36.2,70.57
49.48,52.08,44.27,57.55,36.46,70.31
49.48,52.08,44.27,55.82,36.46,69.01
49.48,52.13,44.27,55.35,36.46,67.71
49.48,52.08,44.27,54.9,36.2,67.45
49.48,52.17,44.27,55.73,35.68,66.15
49.52,52.13,44.27,53.91,35.16,65.1
49.52,52.13,44.27,52.08,34.38,65.1
49.52,52.13,44.23,52.08,34.38,68.75
49.52,52.13,44.23,52.34,34.9,74.48
49.52,52.13,44.14,51.82,34.9,83.96
49.52,52.13,44.14,51.3,35.16,85.6
49.52,52.17,44.1,51.04,35.68,86.67
49.52,52.13,44.1,50.78,36.2,87.28
49.57,52.13,44.14,49.74,36.2,87.68
49.57,52.17,44.14,48.7,36.2,88.11
49.57,52.17,44.23,48.18,36.46,88.75
49.57,52.26,44.23,48.18,36.46,89.49
49.57,52.17,44.27,49.48,36.72,90.15
49.57,52.17,44.31,51.04,36.98,90.4
49.57,52.26,44.31,51.82,37.76,90.19
49.65,52.26,44.31,51.3,38.02,89.36
49.65,52.3,44.31,50.52,37.76,88.41
49.65,52.17,44.31,49.48,37.76,94.27
49.65,52.17,44.27,48.7,38.02,93.75
49.65,52.17,44.27,48.18,38.02,92.71
49.65,52.26,44.31,46.88,37.76,89.84
49.65,52.26,44.31,45.83,37.76,86.2
49.65,52.3,44.31,45.57,38.28,83.85
49.7,52.17,44.31,45.83,39.06,83.07
49.7,52.26,44.31,45.57,38.8,80.47
49.7,52.26,44.36,45.31,38.02,78.65
49.7,52.26,44.36,45.31,37.5,80.99
49.7,52.26,44.36,46.61,36.72,82.03
49.7,52.26,44.36,48.18,36.46,82.03
49.74,52.3,44.36,48.7,36.46,79.69
49.74,52.26,44.44,49.48,35.42,76.04
49.74,52.26,44.44,49.48,35.42,76.04
49.74,52.3,44.44,49.74,35.68,75.52
49.74,52.26,44.44,49.48,35.42,76.04
49.74,52.17,44.44,49.22,35.16,77.08
49.74,52.26,44.49,48.7,35.16,79.43
49.74,52.17,44.49,48.18,35.42,79.95
49.74,52.26,44.49,47.4,35.42,82.03
49.74,52.26,44.49,47.14,36.46,84.38
49.74,52.17,44.49,46.88,36.46,85.16
49.78,52.26,44.53,46.61,36.72,84.38
49.78,52.17,44.53,46.09,36.46,84.64
49.78,52.17,44.53,46.09,36.2,82.03
49.78,52.26,44.53,45.83,35.68,79.17
49.78,52.26,44.53,46.09,35.68,76.04
49.78,52.26,44.53,47.14,36.2,73.44
49.74,52.26,44.53,47.4,36.2,70.57
49.74,52.26,44.53,47.14,35.68,69.27
49.74,52.17,44.53,48.18,36.46,69.27
49.74,52.17,44.53,48.7,36.46,69.01
49.74,52.17,44.49,49.22,36.2,71.35
49.74,52.17,44.49,50.0,35.42,75.78
49.74,52.13,44.49,50.78,34.9,77.86
49.74,52.26,44.44,49.74,34.11,82.29
49.7,52.17,44.49,48.7,33.85,84.84
49.7,52.17,44.53,48.44,33.85,85.64
49.7,52.17,44.53,47.92,33.59,86.36
49.7,52.17,44.57,47.92,33.59,87.33
49.7,52.17,44.57,47.4,33.85,91.67
49.7,52.13,44.66,46.88,33.85,93.49
49.7,52.17,44.7,46.09,33.85,97.4
49.7,52.13,44.7,46.09,33.85,101.56
49.7,52.17,44.75,46.09,33.85,102.08
49.7,52.17,44.75,46.88,33.59,98.96
49.7,52.26,44.75,48.18,33.85,98.18
49.7,52.26,44.79,49.48,34.11,98.7
49.7,52.17,44.79,50.0,35.16,100.0
49.7,52.13,44.75,49.74,36.46,103.39
49.7,52.17,44.75,49.48,36.72,105.21
49.7,52.17,44.75,48.44,36.46,105.21
49.7,52.17,44.7,47.92,36.2,103.91
49.7,52.13,44.7,47.92,35.68,102.86
49.7,52.13,44.7,47.14,35.42,100.0
49.7,52.08,44.7,47.4,35.42,97.92
49.7,52.17,44.7,47.4,35.68,96.61
49.7,52.17,44.75,47.4,36.2,95.05
49.52,52.13,44.75,47.14,36.46,92.97
49.7,52.17,44.79,46.61,36.46,90.89
49.7,52.08,44.88,46.88,36.98,90.36
49.7,52.13,44.88,46.61,37.5,89.58
49.65,52.13,44.92,45.57,36.98,87.76
49.65,52.13,44.92,45.57,36.98,87.76
49.65,52.08,44.97,44.27,36.72,82.55
49.65,52.13,45.01,44.01,36.2,80.99
49.57,52.08,45.1,43.49,35.42,79.43
49.65,52.13,45.1,44.53,34.9,78.12
49.65,52.04,45.14,45.31,34.38,77.34
49.65,52.08,45.18,46.09,34.11,76.56
49.65,52.08,45.18,47.92,34.11,75.26
49.65,52.08,45.18,49.48,34.11,72.92
49.65,52.04,45.14,50.0,34.38,76.82
49.65,52.04,45.14,50.0,34.38,76.82
49.65,52.04,45.1,50.0,34.38,83.11
49.65,52.08,45.01,49.74,34.9,88.8
49.65,52.08,44.97,50.0,34.9,91.67
49.65,52.04,44.92,50.52,34.9,92.97
49.65,52.04,44.92,50.0,34.38,92.45
49.65,52.04,44.88,49.74,34.38,90.1
49.65,52.04,44.88,49.74,34.9,88.54
49.65,52.08,44.88,49.48,34.38,86.2
49.65,52.04,44.88,49.74,34.38,85.16
49.65,51.95,44.88,50.0,35.16,85.68
49.65,52.04,44.92,50.52,35.42,86.98
49.65,52.04,44.92,50.78,36.46,86.2
49.57,52.04,44.97,51.04,37.76,85.16
49.57,52.04,45.01,51.04,38.8,84.38
49.52,51.95,45.1,50.78,39.32,83.85
49.57,52.04,45.1,49.48,38.8,80.99
49.57,51.95,45.14,49.22,37.76,78.39
49.57,51.95,45.18,49.22,36.72,77.08
49.57,51.95,45.18,48.44,36.2,75.26
